id,name,location,price,rate,types,amenities,imp,ids
1,Beverly Banquets,Jericho,3600.0,1,"id: 1, type_name: Banquet","id: 60, amenities_name: Large Mirror, id: 317, amenities_name: It has an outdoor garden as well!, id: 323, amenities_name: We have a lighthouse cottage and 90 feet of dock space on the Tchefuncte River. The cottage is ideal for bridal parties to get ready for the big event! Plenty of space, full bathroom and full kitchen. 3 large rooms and expansive deck. Order lunch & relax!, id: 559, amenities_name: Bathrooms, id: 668, amenities_name: Waterfront views to the Miami Rivers, id: 673, amenities_name: Bridal Salon with beauty bar","Beverly Banquets Jericho 3600.0 1 id: 1, type_name: Banquet id: 60, amenities_name: Large Mirror, id: 317, amenities_name: It has an outdoor garden as well!, id: 323, amenities_name: We have a lighthouse cottage and 90 feet of dock space on the Tchefuncte River. The cottage is ideal for bridal parties to get ready for the big event! Plenty of space, full bathroom and full kitchen. 3 large rooms and expansive deck. Order lunch & relax!, id: 559, amenities_name: Bathrooms, id: 668, amenities_name: Waterfront views to the Miami Rivers, id: 673, amenities_name: Bridal Salon with beauty bar",0
2,Cruise Newport Beach-Yacht Rentals,Jericho,30.0,5,"id: 2, type_name: Concert, id: 8, type_name: Conference","id: 106, amenities_name: Ice chest, id: 459, amenities_name: Selfie Room, id: 477, amenities_name: Many different and flexible space configurations available with our floor plan to accommodate all kinds of events, large and small, outdoor patio with music and lights and inside areas that give us a lot of options., id: 485, amenities_name: Kosher available, id: 615, amenities_name: Worldclass nightlife resources at your disposal., id: 687, amenities_name: HalfBasketball Court","Cruise Newport Beach-Yacht Rentals Jericho 30.0 5 id: 2, type_name: Concert, id: 8, type_name: Conference id: 106, amenities_name: Ice chest, id: 459, amenities_name: Selfie Room, id: 477, amenities_name: Many different and flexible space configurations available with our floor plan to accommodate all kinds of events, large and small, outdoor patio with music and lights and inside areas that give us a lot of options., id: 485, amenities_name: Kosher available, id: 615, amenities_name: Worldclass nightlife resources at your disposal., id: 687, amenities_name: HalfBasketball Court",1
3,The Dudes' Brewing Co. Hollywood,Jenin,4000.0,4,"id: 3, type_name: Restaurant","id: 20, amenities_name: RoofTop Event Space, Private Dressing Rooms, id: 82, amenities_name: Live band Stage, id: 137, amenities_name: 40 crossback chairs with cushion, id: 179, amenities_name: Fully Furnished with 3 sofas, 2 arm chairs, folding chairs and stools and 5 tables for food and beverages., id: 199, amenities_name: Professional kitchen, shared lobby, flexible green room, supplies room, large freight elevators, natural light, blackout shades,, id: 302, amenities_name: 16 count Round tables","The Dudes' Brewing Co. Hollywood Jenin 4000.0 4 id: 3, type_name: Restaurant id: 20, amenities_name: RoofTop Event Space, Private Dressing Rooms, id: 82, amenities_name: Live band Stage, id: 137, amenities_name: 40 crossback chairs with cushion, id: 179, amenities_name: Fully Furnished with 3 sofas, 2 arm chairs, folding chairs and stools and 5 tables for food and beverages., id: 199, amenities_name: Professional kitchen, shared lobby, flexible green room, supplies room, large freight elevators, natural light, blackout shades,, id: 302, amenities_name: 16 count Round tables",2
4,Typically Responds within 24 hours,Nablus,100.0,3,"id: 4, type_name: Studio","id: 116, amenities_name: Hand carved moldings, working marble fireplace, catering supplies, 50 champagne flutes, ice buckets, bar supplies., id: 147, amenities_name: Cocktail Pavilion, id: 173, amenities_name: Intimate venue space. Modern chandeliers creating an unforgettable event space., id: 296, amenities_name: Blackout capabilities., id: 352, amenities_name: Guest Wing: 9 themed rooms for 22 guests, 3 common restroom, id: 590, amenities_name: Our Gallery Ballroom can accommodate up to 160 guests for a dinner","Typically Responds within 24 hours Nablus 100.0 3 id: 4, type_name: Studio id: 116, amenities_name: Hand carved moldings, working marble fireplace, catering supplies, 50 champagne flutes, ice buckets, bar supplies., id: 147, amenities_name: Cocktail Pavilion, id: 173, amenities_name: Intimate venue space. Modern chandeliers creating an unforgettable event space., id: 296, amenities_name: Blackout capabilities., id: 352, amenities_name: Guest Wing: 9 themed rooms for 22 guests, 3 common restroom, id: 590, amenities_name: Our Gallery Ballroom can accommodate up to 160 guests for a dinner",3
5,Pluto LA (West Hollywood),Salfit,4500.0,4,"id: 2, type_name: Concert","id: 109, amenities_name: Kidspace has been featured in numerous publications, including Los Angeles magazine and Sunset magazine. You are welcome to bring food and drinks to Kidspace, or enjoy the fresh, healthy menus for children and adults at the Nestle Café by Wolfgang Puck., id: 304, amenities_name: Early Holiday Booking starting September 3rd October 15th;, id: 352, amenities_name: Guest Wing: 9 themed rooms for 22 guests, 3 common restroom, id: 382, amenities_name: The space comes with one large party room, 2 bathrooms, and an outdoor area. Equipped with seating for 25, mood lighting, Victorian decor, and one of a kind antiques this space will transport you to a different era., id: 445, amenities_name: State of Art Sound and Lighting system, id: 613, amenities_name: Large LED Monitors","Pluto LA (West Hollywood) Salfit 4500.0 4 id: 2, type_name: Concert id: 109, amenities_name: Kidspace has been featured in numerous publications, including Los Angeles magazine and Sunset magazine. You are welcome to bring food and drinks to Kidspace, or enjoy the fresh, healthy menus for children and adults at the Nestle Café by Wolfgang Puck., id: 304, amenities_name: Early Holiday Booking starting September 3rd October 15th;, id: 352, amenities_name: Guest Wing: 9 themed rooms for 22 guests, 3 common restroom, id: 382, amenities_name: The space comes with one large party room, 2 bathrooms, and an outdoor area. Equipped with seating for 25, mood lighting, Victorian decor, and one of a kind antiques this space will transport you to a different era., id: 445, amenities_name: State of Art Sound and Lighting system, id: 613, amenities_name: Large LED Monitors",4
6,Hard Rock Cafe on Hollywood Blvd.,Jenin,42.0,1,"id: 3, type_name: Restaurant","id: 15, amenities_name: x2 Cyclorama Walls, id: 47, amenities_name: Seperate hall for cotporate events,small parties or any type of private ceremonies, id: 227, amenities_name: 15FT Gallery Walls, id: 268, amenities_name: Technologicallyenhanced classrooms, including six classrooms, four breakout rooms, two conference rooms, and a learning commons and library., id: 274, amenities_name: 12 bedroom suites, id: 588, amenities_name: Fitness Center, Indoor","Hard Rock Cafe on Hollywood Blvd. Jenin 42.0 1 id: 3, type_name: Restaurant id: 15, amenities_name: x2 Cyclorama Walls, id: 47, amenities_name: Seperate hall for cotporate events,small parties or any type of private ceremonies, id: 227, amenities_name: 15FT Gallery Walls, id: 268, amenities_name: Technologicallyenhanced classrooms, including six classrooms, four breakout rooms, two conference rooms, and a learning commons and library., id: 274, amenities_name: 12 bedroom suites, id: 588, amenities_name: Fitness Center, Indoor",5
7,Typically Responds within 24 hours,Jenin,350.0,1,"id: 5, type_name: Ballroom","id: 27, amenities_name: Coat room, 2 private restrooms, hardwood floors, lobby area, mirrored wall, party lights, stereo system., id: 79, amenities_name: Handicap Accessibility Restrooms included, separate food area, and private parking, id: 146, amenities_name: Coat Check Attendant, id: 391, amenities_name: VIP Chamber with Restroom & Shower, Kitchens For Cooking, Prep & Refrigeration, StateoftheArt Audio Sound System, Ease of LoadIn, id: 458, amenities_name: Bluetooth sound, id: 641, amenities_name: TAKE A 360 DEGREE TOUR OF THE LAGOON","Typically Responds within 24 hours Jenin 350.0 1 id: 5, type_name: Ballroom id: 27, amenities_name: Coat room, 2 private restrooms, hardwood floors, lobby area, mirrored wall, party lights, stereo system., id: 79, amenities_name: Handicap Accessibility Restrooms included, separate food area, and private parking, id: 146, amenities_name: Coat Check Attendant, id: 391, amenities_name: VIP Chamber with Restroom & Shower, Kitchens For Cooking, Prep & Refrigeration, StateoftheArt Audio Sound System, Ease of LoadIn, id: 458, amenities_name: Bluetooth sound, id: 641, amenities_name: TAKE A 360 DEGREE TOUR OF THE LAGOON",6
8,Typically Responds within 24 hours,Nablus,7000.0,2,"id: 6, type_name: Estate","id: 55, amenities_name: Stunning photo opportunites abound on the site with its period brick and vintage building backdrop and lushly landscaped setting. Free onsite and adjacent parking. Affordable elegance., id: 78, amenities_name: Including all new Audio & video systems: screen projectors, wireless mics, speakers, TV wall; Equipment: chairs, tables, pedestals, kitchen, meeting rooms, bathrooms, etc., id: 169, amenities_name: An event advisor to coordinate all services and be onsite for the duration of your event, id: 396, amenities_name: Flexible to work with you. Your satisfaction is our priority., id: 405, amenities_name: Experience Buenos Aires’ Golden Age at Artango Bar and Steakhouse, where the rich cultural heritage of Argentina comes alive. Set amidst a tableau of Art Nouveau and Neoclassical architecture and décor are the exciting tastes, lively music and dancing., id: 492, amenities_name: Complimentary Full Hot Breakfast, Managers Reception featuring, Beer, Wine, Beverages & Light Appetizers. Business Center & Wireless HighSpeed Internet Access.","Typically Responds within 24 hours Nablus 7000.0 2 id: 6, type_name: Estate id: 55, amenities_name: Stunning photo opportunites abound on the site with its period brick and vintage building backdrop and lushly landscaped setting. Free onsite and adjacent parking. Affordable elegance., id: 78, amenities_name: Including all new Audio & video systems: screen projectors, wireless mics, speakers, TV wall; Equipment: chairs, tables, pedestals, kitchen, meeting rooms, bathrooms, etc., id: 169, amenities_name: An event advisor to coordinate all services and be onsite for the duration of your event, id: 396, amenities_name: Flexible to work with you. Your satisfaction is our priority., id: 405, amenities_name: Experience Buenos Aires’ Golden Age at Artango Bar and Steakhouse, where the rich cultural heritage of Argentina comes alive. Set amidst a tableau of Art Nouveau and Neoclassical architecture and décor are the exciting tastes, lively music and dancing., id: 492, amenities_name: Complimentary Full Hot Breakfast, Managers Reception featuring, Beer, Wine, Beverages & Light Appetizers. Business Center & Wireless HighSpeed Internet Access.",7
9,Typically Responds within 24 hours,Tulkarem,50.0,3,"id: 7, type_name: Hotel","id: 76, amenities_name: Grass Wall, id: 99, amenities_name: Exclusive use of all three floors of the Childrens Museum, id: 409, amenities_name: Unique decorations throughout the whole place. Popcorn machine, tablecloths & lights, chairs, Band organ, baby grand piano, gift shop, very special ladies room. Soft serve Ice Cream machine. magic door. rising drapes in Cabaret stage., id: 500, amenities_name: Gardens, id: 619, amenities_name: Event dedicated kitchen with Kosher conversion capability adjacent to the ballroom, id: 653, amenities_name: Exquisite Catering Menus","Typically Responds within 24 hours Tulkarem 50.0 3 id: 7, type_name: Hotel id: 76, amenities_name: Grass Wall, id: 99, amenities_name: Exclusive use of all three floors of the Childrens Museum, id: 409, amenities_name: Unique decorations throughout the whole place. Popcorn machine, tablecloths & lights, chairs, Band organ, baby grand piano, gift shop, very special ladies room. Soft serve Ice Cream machine. magic door. rising drapes in Cabaret stage., id: 500, amenities_name: Gardens, id: 619, amenities_name: Event dedicated kitchen with Kosher conversion capability adjacent to the ballroom, id: 653, amenities_name: Exquisite Catering Menus",8
10,,Jericho,4485.0,1,"id: 8, type_name: Conference, id: 12, type_name: Sports Facility","id: 10, amenities_name: Indoor Pool, id: 211, amenities_name: 65,000 squar feet of FUN and activities, meeting space, all under one roof. Rent The Event for your private event for the entire facility., id: 290, amenities_name: A breathtaking view of Downtown San Antonio from 100 feet of windows. The versatility of the Skyroom allows for you to have the event you have always dreamed about., id: 472, amenities_name: 15 Acres of serenity! Royal Master Suite for the newlyweds or parents to spend the night! Large indoor bar!, id: 519, amenities_name: BYOB, id: 657, amenities_name: Beautiful Views"," Jericho 4485.0 1 id: 8, type_name: Conference, id: 12, type_name: Sports Facility id: 10, amenities_name: Indoor Pool, id: 211, amenities_name: 65,000 squar feet of FUN and activities, meeting space, all under one roof. Rent The Event for your private event for the entire facility., id: 290, amenities_name: A breathtaking view of Downtown San Antonio from 100 feet of windows. The versatility of the Skyroom allows for you to have the event you have always dreamed about., id: 472, amenities_name: 15 Acres of serenity! Royal Master Suite for the newlyweds or parents to spend the night! Large indoor bar!, id: 519, amenities_name: BYOB, id: 657, amenities_name: Beautiful Views",9
